model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_10hash_16bpi.pickle.lzma,70.27294303797468,0.7953890489913544,0.5458860759493671,0.6474313863476425,1380,355,1148
['portfolio6']_16input_1024entry_10hash_32bpi.pickle.lzma,72.8243670886076,0.8390129259694477,0.564873417721519,0.675177304964539,1428,274,1100
['portfolio6']_16input_1024entry_10hash_4bpi.pickle.lzma,64.9129746835443,0.719441210710128,0.4889240506329114,0.5821950070654733,1236,482,1292
['portfolio6']_16input_1024entry_10hash_8bpi.pickle.lzma,66.77215189873418,0.764669163545568,0.48457278481012656,0.5932203389830508,1225,377,1303
['portfolio6']_16input_1024entry_20hash_16bpi.pickle.lzma,67.84018987341773,0.7469879518072289,0.5395569620253164,0.6265502985760221,1364,462,1164
['portfolio6']_16input_1024entry_20hash_32bpi.pickle.lzma,70.27294303797468,0.7284886312973696,0.6463607594936709,0.6849717040452735,1634,609,894
['portfolio6']_16input_1024entry_20hash_4bpi.pickle.lzma,64.31962025316456,0.7531468531468531,0.4260284810126582,0.5442142496210206,1077,353,1451
['portfolio6']_16input_1024entry_20hash_8bpi.pickle.lzma,66.06012658227847,0.7354988399071926,0.5015822784810127,0.5964252116650987,1268,456,1260
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,71.73655063291139,0.7863470557582074,0.5969145569620253,0.6786597706318866,1509,410,1019
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,75.63291139240506,0.9213263979193758,0.5605221518987342,0.6969995081160847,1417,121,1111
['portfolio6']_16input_1024entry_5hash_4bpi.pickle.lzma,65.05142405063292,0.7791636096845195,0.4200949367088608,0.545875096376253,1062,301,1466
['portfolio6']_16input_1024entry_5hash_8bpi.pickle.lzma,66.67325949367088,0.775310254735467,0.46954113924050633,0.5848731214584874,1187,344,1341
['portfolio6']_16input_128entry_10hash_16bpi.pickle.lzma,63.64715189873418,0.6345553822152886,0.6435917721518988,0.6390416339355852,1627,937,901
['portfolio6']_16input_128entry_10hash_32bpi.pickle.lzma,64.85363924050634,0.667260579064588,0.5925632911392406,0.6276974649067673,1498,747,1030
['portfolio6']_16input_128entry_10hash_4bpi.pickle.lzma,55.34018987341772,0.6956521739130435,0.189873417721519,0.2983219390926041,480,210,2048
