model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_2hash_16bpi.pickle.lzma,70.09493670886076,0.7466019417475728,0.6083860759493671,0.6704446381865736,1538,522,990
['portfolio6']_16input_1024entry_2hash_32bpi.pickle.lzma,78.38212025316456,0.9298981426003595,0.6139240506329114,0.7395758875387182,1552,117,976
['portfolio6']_16input_1024entry_2hash_4bpi.pickle.lzma,65.0118670886076,0.7689581856839122,0.42919303797468356,0.5509012439705508,1085,326,1443
['portfolio6']_16input_1024entry_2hash_8bpi.pickle.lzma,62.89556962025317,0.6933570581257414,0.4624208860759494,0.5548172757475083,1169,517,1359
['portfolio6']_16input_1024entry_3hash_16bpi.pickle.lzma,72.52768987341773,0.927231807951988,0.4889240506329114,0.6402486402486403,1236,97,1292
['portfolio6']_16input_1024entry_3hash_32bpi.pickle.lzma,78.38212025316456,0.9253112033195021,0.6174841772151899,0.7406880189798338,1561,126,967
['portfolio6']_16input_1024entry_3hash_4bpi.pickle.lzma,63.70648734177215,0.8069087688219664,0.3603639240506329,0.4982225868197976,911,218,1617
['portfolio6']_16input_1024entry_3hash_8bpi.pickle.lzma,68.78955696202532,0.7892813641900122,0.5126582278481012,0.6215827338129496,1296,346,1232
['portfolio6']_16input_1024entry_4hash_16bpi.pickle.lzma,57.79272151898734,0.6315086782376502,0.37420886075949367,0.4699453551912568,946,552,1582
['portfolio6']_16input_1024entry_4hash_32bpi.pickle.lzma,77.90743670886076,0.9299207800121877,0.6036392405063291,0.7320700407771649,1526,115,1002
['portfolio6']_16input_1024entry_4hash_4bpi.pickle.lzma,63.70648734177215,0.7381443298969073,0.4248417721518987,0.5392919909615869,1074,381,1454
['portfolio6']_16input_1024entry_4hash_8bpi.pickle.lzma,68.33465189873418,0.7824497257769653,0.5079113924050633,0.615975053969777,1284,357,1244
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,56.60601265822785,0.6403361344537815,0.3014240506329114,0.40989779451317915,762,428,1766
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,75.65268987341773,0.9230267449445532,0.5597310126582279,0.6968726914553066,1415,118,1113
['portfolio6']_16input_1024entry_5hash_4bpi.pickle.lzma,64.99208860759494,0.7414012738853503,0.46044303797468356,0.5680819912152271,1164,406,1364
['portfolio6']_16input_1024entry_5hash_8bpi.pickle.lzma,68.31487341772153,0.7532822757111597,0.5446993670886076,0.6322314049586777,1377,451,1151
['portfolio6']_16input_128entry_2hash_16bpi.pickle.lzma,66.63370253164557,0.7048222113979542,0.5723892405063291,0.6317397948046278,1447,606,1081
['portfolio6']_16input_128entry_2hash_32bpi.pickle.lzma,68.78955696202532,0.7221702525724977,0.6107594936708861,0.6618088298328333,1544,594,984
