portfolio_index,model_file,input_bits,entry_count,hash_count,bpi_count,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives,eval_time_sec,error
0,['portfolio6']_4input_512entry_4hash_8bpi.pickle.lzma,4,512,4,8,65.0017,0.4605,0.5981,0.5204,1125,1318,756,6.5858,
0,['portfolio6']_8input_512entry_10hash_16bpi.pickle.lzma,8,512,10,16,64.5629,0.457,0.6194,0.526,1165,1384,716,10.2576,
0,['portfolio6']_4input_512entry_5hash_8bpi.pickle.lzma,4,512,5,8,65.8454,0.4701,0.5976,0.5262,1124,1267,757,10.3626,
0,['portfolio6']_4input_4096entry_10hash_8bpi.pickle.lzma,4,4096,10,8,65.4573,0.4661,0.6071,0.5274,1142,1308,739,10.8075,
0,['portfolio6']_4input_128entry_1hash_16bpi.pickle.lzma,4,128,1,16,64.6811,0.4569,0.597,0.5176,1123,1335,758,11.0363,
0,['portfolio6']_8input_128entry_20hash_32bpi.pickle.lzma,8,128,20,32,66.0817,0.4725,0.5901,0.5248,1110,1239,771,13.1235,
0,['portfolio6']_8input_128entry_5hash_32bpi.pickle.lzma,8,128,5,32,64.8667,0.4618,0.6454,0.5384,1214,1415,667,13.125,
0,['portfolio6']_4input_4096entry_2hash_8bpi.pickle.lzma,4,4096,2,8,64.4954,0.4571,0.6321,0.5306,1189,1412,692,9.2676,
0,['portfolio6']_8input_1024entry_2hash_32bpi.pickle.lzma,8,1024,2,32,65.0523,0.4633,0.6385,0.537,1201,1391,680,13.3758,
0,['portfolio6']_8input_4096entry_1hash_16bpi.pickle.lzma,8,4096,1,16,65.0186,0.4621,0.6225,0.5305,1171,1363,710,9.6624,
0,['portfolio6']_8input_256entry_20hash_32bpi.pickle.lzma,8,256,20,32,65.1367,0.4647,0.6465,0.5407,1216,1401,665,11.5446,
0,['portfolio6']_8input_4096entry_20hash_16bpi.pickle.lzma,8,4096,20,16,64.1748,0.4532,0.6225,0.5245,1171,1413,710,10.9849,
0,['portfolio6']_8input_2048entry_2hash_32bpi.pickle.lzma,8,2048,2,32,64.0904,0.4515,0.6114,0.5194,1150,1397,731,12.4859,
0,['portfolio6']_4input_256entry_3hash_8bpi.pickle.lzma,4,256,3,8,64.2929,0.4556,0.6417,0.5329,1207,1442,674,6.0028,
0,['portfolio6']_8input_512entry_5hash_16bpi.pickle.lzma,8,512,5,16,64.3098,0.4565,0.6534,0.5375,1229,1463,652,8.0847,
0,['portfolio6']_4input_4096entry_5hash_16bpi.pickle.lzma,4,4096,5,16,64.5629,0.4588,0.6481,0.5372,1219,1438,662,11.4454,
0,['portfolio6']_8input_512entry_4hash_16bpi.pickle.lzma,8,512,4,16,64.5798,0.459,0.6481,0.5374,1219,1437,662,7.9409,
0,['portfolio6']_8input_256entry_4hash_64bpi.pickle.lzma,8,256,4,64,63.7698,0.4479,0.6077,0.5157,1143,1409,738,25.4327,
0,['portfolio6']_8input_128entry_1hash_64bpi.pickle.lzma,8,128,1,64,63.6517,0.4502,0.656,0.534,1234,1507,647,22.9335,
0,['portfolio6']_4input_128entry_3hash_4bpi.pickle.lzma,4,128,3,4,64.3267,0.4557,0.6374,0.5315,1199,1432,682,3.5046,
0,['portfolio6']_4input_256entry_2hash_8bpi.pickle.lzma,4,256,2,8,63.618,0.451,0.6725,0.5399,1265,1540,616,6.0835,
0,['portfolio6']_8input_256entry_2hash_64bpi.pickle.lzma,8,256,2,64,63.7192,0.4504,0.6486,0.5316,1220,1489,661,27.668,
0,['portfolio6']_4input_4096entry_2hash_32bpi.pickle.lzma,4,4096,2,32,63.9892,0.4533,0.6534,0.5353,1229,1482,652,24.2667,
0,['portfolio6']_4input_256entry_10hash_16bpi.pickle.lzma,4,256,10,16,64.0061,0.4517,0.6257,0.5246,1177,1429,704,11.4457,
0,['portfolio6']_4input_128entry_4hash_16bpi.pickle.lzma,4,128,4,16,63.7192,0.4508,0.6555,0.5342,1233,1502,648,10.3442,
0,['portfolio6']_8input_2048entry_5hash_64bpi.pickle.lzma,8,2048,5,64,64.4617,0.4565,0.6279,0.5286,1181,1406,700,52.6841,
0,['portfolio6']_8input_1024entry_10hash_32bpi.pickle.lzma,8,1024,10,32,64.3604,0.4574,0.6592,0.5401,1240,1471,641,7.4369,
0,['portfolio6']_8input_256entry_20hash_64bpi.pickle.lzma,8,256,20,64,64.2254,0.456,0.6587,0.5389,1239,1478,642,26.8569,
0,['portfolio6']_8input_1024entry_4hash_32bpi.pickle.lzma,8,1024,4,32,63.7361,0.4511,0.6566,0.5347,1235,1503,646,10.2519,
0,['portfolio6']_8input_2048entry_10hash_64bpi.pickle.lzma,8,2048,10,64,63.9555,0.453,0.6539,0.5352,1230,1485,651,32.1998,
0,['portfolio6']_4input_4096entry_20hash_4bpi.pickle.lzma,4,4096,20,4,63.3986,0.4488,0.6715,0.538,1263,1551,618,6.7703,
0,['portfolio6']_4input_2048entry_3hash_32bpi.pickle.lzma,4,2048,3,32,63.6011,0.4498,0.6571,0.534,1236,1512,645,15.113,
0,['portfolio6']_8input_1024entry_4hash_128bpi.pickle.lzma,8,1024,4,128,65.2717,0.4654,0.6321,0.5361,1189,1366,692,106.4951,
0,['portfolio6']_8input_512entry_2hash_16bpi.pickle.lzma,8,512,2,16,63.7023,0.4516,0.6693,0.5393,1259,1529,622,8.034,
0,['portfolio6']_4input_1024entry_2hash_32bpi.pickle.lzma,4,1024,2,32,63.4323,0.4486,0.6635,0.5353,1248,1534,633,16.214,
0,['portfolio6']_8input_512entry_4hash_64bpi.pickle.lzma,8,512,4,64,64.1073,0.4552,0.664,0.5401,1249,1495,632,28.0131,
0,['portfolio6']_8input_1024entry_5hash_128bpi.pickle.lzma,8,1024,5,128,63.1623,0.4426,0.6188,0.5161,1164,1466,717,111.3186,
0,['portfolio6']_16input_256entry_20hash_128bpi.pickle.lzma,16,256,20,128,64.2423,0.4554,0.6465,0.5344,1216,1454,665,96.8401,
0,['portfolio6']_8input_4096entry_1hash_32bpi.pickle.lzma,8,4096,1,32,63.8205,0.4532,0.6773,0.5431,1274,1537,607,10.6506,
0,['portfolio6']_4input_128entry_2hash_32bpi.pickle.lzma,4,128,2,32,63.7867,0.4521,0.6651,0.5383,1251,1516,630,11.1958,
0,['portfolio6']_8input_512entry_20hash_128bpi.pickle.lzma,8,512,20,128,63.4323,0.4491,0.6715,0.5382,1263,1549,618,99.7826,
0,['portfolio6']_4input_512entry_20hash_32bpi.pickle.lzma,4,512,20,32,63.753,0.4515,0.6608,0.5365,1243,1510,638,12.4915,
1,['portfolio6']_8input_128entry_20hash_32bpi.pickle.lzma,8,128,20,32,63.9155,0.5363,0.5966,0.5648,244,211,165,2.6278,
0,['portfolio6']_8input_512entry_3hash_128bpi.pickle.lzma,8,512,3,128,64.1411,0.4553,0.6614,0.5393,1244,1488,637,99.7652,
1,['portfolio6']_4input_512entry_5hash_8bpi.pickle.lzma,4,512,5,8,61.4203,0.508,0.5428,0.5248,222,215,187,1.6862,
1,['portfolio6']_4input_512entry_4hash_8bpi.pickle.lzma,4,512,4,8,62.476,0.5199,0.5746,0.5459,235,217,174,1.686,
1,['portfolio6']_4input_128entry_1hash_16bpi.pickle.lzma,4,128,1,16,63.0518,0.5256,0.6015,0.561,246,222,163,2.5211,
1,['portfolio6']_4input_4096entry_10hash_8bpi.pickle.lzma,4,4096,10,8,64.7793,0.5467,0.6015,0.5728,246,204,163,3.9473,
1,['portfolio6']_8input_512entry_10hash_16bpi.pickle.lzma,8,512,10,16,63.3397,0.529,0.6015,0.5629,246,219,163,2.0498,
1,['portfolio6']_8input_128entry_5hash_32bpi.pickle.lzma,8,128,5,32,62.9559,0.524,0.6137,0.5653,251,228,158,2.4158,
1,['portfolio6']_8input_1024entry_2hash_32bpi.pickle.lzma,8,1024,2,32,62.7639,0.5222,0.6039,0.5601,247,226,162,3.6144,
1,['portfolio6']_4input_4096entry_2hash_8bpi.pickle.lzma,4,4096,2,8,64.1075,0.5365,0.6284,0.5788,257,222,152,4.9271,
0,['portfolio6']_8input_1024entry_3hash_256bpi.pickle.lzma,8,1024,3,256,63.8711,0.4533,0.6709,0.5411,1262,1522,619,122.3662,
1,['portfolio6']_8input_4096entry_1hash_16bpi.pickle.lzma,8,4096,1,16,63.0518,0.5274,0.5648,0.5455,231,207,178,4.0317,
1,['portfolio6']_8input_1024entry_4hash_128bpi.pickle.lzma,8,1024,4,128,62.7639,0.5223,0.6015,0.5591,246,225,163,20.3671,
1,['portfolio6']_8input_256entry_20hash_32bpi.pickle.lzma,8,256,20,32,64.0115,0.5378,0.5917,0.5634,242,208,167,3.0761,
0,['portfolio6']_4input_4096entry_5hash_64bpi.pickle.lzma,4,4096,5,64,63.2636,0.4481,0.68,0.5402,1279,1575,602,71.757,
1,['portfolio6']_8input_2048entry_5hash_64bpi.pickle.lzma,8,2048,5,64,64.1075,0.5375,0.6137,0.5731,251,216,158,8.554,
1,['portfolio6']_4input_256entry_3hash_8bpi.pickle.lzma,4,256,3,8,64.0115,0.5348,0.6381,0.5819,261,227,148,1.2599,
1,['portfolio6']_8input_4096entry_20hash_16bpi.pickle.lzma,8,4096,20,16,61.9962,0.5135,0.6039,0.5551,247,234,162,3.676,
1,['portfolio6']_8input_2048entry_2hash_32bpi.pickle.lzma,8,2048,2,32,62.572,0.5199,0.6064,0.5598,248,229,161,4.3917,
1,['portfolio6']_8input_256entry_4hash_64bpi.pickle.lzma,8,256,4,64,61.0365,0.503,0.6137,0.5529,251,248,158,3.2928,
1,['portfolio6']_8input_128entry_1hash_64bpi.pickle.lzma,8,128,1,64,62.0921,0.5142,0.6186,0.5616,253,239,156,3.6211,
1,['portfolio6']_4input_4096entry_5hash_16bpi.pickle.lzma,4,4096,5,16,63.8196,0.5328,0.6357,0.5797,260,228,149,4.678,
1,['portfolio6']_8input_512entry_5hash_16bpi.pickle.lzma,8,512,5,16,62.0921,0.5149,0.5917,0.5506,242,228,167,2.1135,
1,['portfolio6']_8input_256entry_2hash_64bpi.pickle.lzma,8,256,2,64,62.38,0.5174,0.6186,0.5635,253,236,156,4.1511,
1,['portfolio6']_8input_512entry_4hash_16bpi.pickle.lzma,8,512,4,16,64.3954,0.5415,0.6064,0.5721,248,210,161,1.6145,
1,['portfolio6']_4input_128entry_3hash_4bpi.pickle.lzma,4,128,3,4,62.0921,0.5148,0.5941,0.5516,243,229,166,0.8594,
1,['portfolio6']_4input_256entry_2hash_8bpi.pickle.lzma,4,256,2,8,63.4357,0.5275,0.6577,0.5854,269,241,140,1.3271,
0,['portfolio6']_8input_256entry_4hash_128bpi.pickle.lzma,8,256,4,128,63.5336,0.4495,0.6629,0.5358,1247,1527,634,90.6973,
1,['portfolio6']_4input_256entry_10hash_16bpi.pickle.lzma,4,256,10,16,64.0115,0.5351,0.6333,0.5801,259,225,150,1.7599,
1,['portfolio6']_4input_128entry_4hash_16bpi.pickle.lzma,4,128,4,16,62.6679,0.5198,0.643,0.5749,263,243,146,2.1326,
1,['portfolio6']_8input_256entry_20hash_64bpi.pickle.lzma,8,256,20,64,63.5317,0.5293,0.6406,0.5796,262,233,147,4.2622,
1,['portfolio6']_8input_1024entry_10hash_32bpi.pickle.lzma,8,1024,10,32,63.2438,0.5259,0.6455,0.5796,264,238,145,4.448,
1,['portfolio6']_4input_4096entry_2hash_32bpi.pickle.lzma,4,4096,2,32,62.6679,0.5203,0.6259,0.5683,256,236,153,11.1182,
1,['portfolio6']_8input_1024entry_5hash_128bpi.pickle.lzma,8,1024,5,128,61.9002,0.5127,0.5941,0.5504,243,231,166,17.8163,
1,['portfolio6']_16input_256entry_20hash_128bpi.pickle.lzma,16,256,20,128,62.2841,0.5164,0.6161,0.5619,252,236,157,12.854,
1,['portfolio6']_8input_1024entry_4hash_32bpi.pickle.lzma,8,1024,4,32,62.8599,0.5213,0.6577,0.5816,269,247,140,2.8152,
1,['portfolio6']_8input_2048entry_10hash_64bpi.pickle.lzma,8,2048,10,64,62.7639,0.5213,0.6284,0.5698,257,236,152,7.0203,
1,['portfolio6']_4input_4096entry_20hash_4bpi.pickle.lzma,4,4096,20,4,64.1075,0.5365,0.6284,0.5788,257,222,152,1.9812,
1,['portfolio6']_4input_2048entry_3hash_32bpi.pickle.lzma,4,2048,3,32,61.7083,0.5097,0.643,0.5686,263,253,146,6.6401,
1,['portfolio6']_8input_512entry_4hash_64bpi.pickle.lzma,8,512,4,64,62.6679,0.5202,0.6284,0.5692,257,237,152,5.6091,
1,['portfolio6']_8input_512entry_20hash_128bpi.pickle.lzma,8,512,20,128,61.5163,0.508,0.6235,0.5598,255,247,154,15.8046,
1,['portfolio6']_8input_512entry_3hash_128bpi.pickle.lzma,8,512,3,128,62.8599,0.5223,0.6308,0.5714,258,236,151,14.7165,
1,['portfolio6']_8input_512entry_2hash_16bpi.pickle.lzma,8,512,2,16,63.1478,0.5249,0.6455,0.5789,264,239,145,2.7121,
0,['portfolio6']_8input_512entry_4hash_128bpi.pickle.lzma,8,512,4,128,63.6686,0.4515,0.6725,0.5403,1265,1537,616,91.7211,
1,['portfolio6']_4input_1024entry_2hash_32bpi.pickle.lzma,4,1024,2,32,62.572,0.5186,0.6479,0.5761,265,246,144,5.9775,
1,['portfolio6']_8input_4096entry_1hash_32bpi.pickle.lzma,8,4096,1,32,63.0518,0.5237,0.6479,0.5792,265,241,144,5.3704,
1,['portfolio6']_4input_128entry_2hash_32bpi.pickle.lzma,4,128,2,32,62.7639,0.5208,0.643,0.5755,263,242,146,2.7122,
1,['portfolio6']_4input_512entry_20hash_32bpi.pickle.lzma,4,512,20,32,62.6679,0.5201,0.6333,0.5711,259,239,150,3.5728,
1,['portfolio6']_8input_1024entry_3hash_256bpi.pickle.lzma,8,1024,3,256,62.6679,0.5199,0.6381,0.573,261,241,148,29.0947,
1,['portfolio6']_8input_256entry_4hash_128bpi.pickle.lzma,8,256,4,128,61.3244,0.5059,0.6259,0.5596,256,250,153,14.8897,
2,['portfolio6']_4input_512entry_5hash_8bpi.pickle.lzma,4,512,5,8,64.9657,0.4456,0.6015,0.512,803,999,532,4.7081,
1,['portfolio6']_8input_512entry_4hash_128bpi.pickle.lzma,8,512,4,128,62.7639,0.5207,0.6455,0.5764,264,243,145,17.0217,
1,['portfolio6']_4input_4096entry_5hash_64bpi.pickle.lzma,4,4096,5,64,62.38,0.5166,0.6455,0.5739,264,247,145,20.3067,
2,['portfolio6']_8input_128entry_20hash_32bpi.pickle.lzma,8,128,20,32,65.3089,0.4485,0.5903,0.5097,788,969,547,7.3419,
2,['portfolio6']_4input_512entry_4hash_8bpi.pickle.lzma,4,512,4,8,63.8902,0.4346,0.6052,0.5059,808,1051,527,4.7364,
2,['portfolio6']_4input_128entry_1hash_16bpi.pickle.lzma,4,128,1,16,63.6384,0.4325,0.6097,0.5061,814,1068,521,5.4812,
2,['portfolio6']_4input_4096entry_10hash_8bpi.pickle.lzma,4,4096,10,8,65.3547,0.4497,0.6,0.5141,801,980,534,6.0777,
2,['portfolio6']_8input_512entry_10hash_16bpi.pickle.lzma,8,512,10,16,63.4554,0.4316,0.6195,0.5088,827,1089,508,4.4242,
0,['portfolio6']_8input_2048entry_3hash_256bpi.pickle.lzma,8,2048,3,256,64.0229,0.4545,0.6672,0.5407,1255,1506,626,127.2547,
2,['portfolio6']_8input_128entry_5hash_32bpi.pickle.lzma,8,128,5,32,62.6773,0.4267,0.6449,0.5136,861,1157,474,7.0722,
2,['portfolio6']_8input_1024entry_2hash_32bpi.pickle.lzma,8,1024,2,32,63.73,0.4358,0.6352,0.5169,848,1098,487,7.5622,
2,['portfolio6']_4input_4096entry_2hash_8bpi.pickle.lzma,4,4096,2,8,64.2563,0.4414,0.6404,0.5226,855,1082,480,6.2069,
2,['portfolio6']_8input_4096entry_1hash_16bpi.pickle.lzma,8,4096,1,16,63.524,0.4315,0.6112,0.5059,816,1075,519,7.5842,
