input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,precision_mean,recall_mean,f1_score_mean
4,512,5,4,66.6667,0.7015,0.2781,0.3983
4,512,20,4,66.6667,0.6534,0.3402,0.4475
4,1024,5,8,66.6667,0.6517,0.3432,0.4496
4,1024,5,128,66.6667,0.6607,0.3284,0.4387
8,128,10,32,66.6667,0.6667,0.3195,0.432
8,256,20,16,66.6667,0.6688,0.3166,0.4297
8,512,3,16,66.6667,0.6588,0.3314,0.4409
8,512,4,16,66.6667,0.6436,0.358,0.4601
8,512,20,64,66.6667,0.6517,0.3432,0.4496
8,1024,2,128,66.6667,0.6467,0.3521,0.4559
8,1024,3,8,66.6667,0.6552,0.3373,0.4453
8,1024,4,32,66.6667,0.6627,0.3254,0.4365
8,1024,5,8,66.6667,0.6588,0.3314,0.4409
8,1024,10,16,66.6667,0.65,0.3462,0.4517
16,256,5,64,66.6667,0.6709,0.3136,0.4274
16,256,10,128,66.6667,0.6607,0.3284,0.4387
16,512,4,32,66.6667,0.657,0.3343,0.4431
16,512,10,64,66.6667,0.6406,0.3639,0.4642
4,128,4,128,66.5493,0.6417,0.355,0.4571
4,128,5,128,66.5493,0.6532,0.3343,0.4423
4,128,10,8,66.5493,0.648,0.3432,0.4487
4,256,2,64,66.5493,0.6514,0.3373,0.4444
4,256,10,8,66.5493,0.6417,0.355,0.4571
4,256,20,8,66.5493,0.648,0.3432,0.4487
4,512,20,16,66.5493,0.6732,0.3047,0.4196
4,1024,2,4,66.5493,0.621,0.4024,0.4883
4,1024,4,128,66.5493,0.6387,0.3609,0.4612
4,1024,5,4,66.5493,0.6587,0.3254,0.4356
4,1024,20,16,66.5493,0.655,0.3314,0.4401
8,128,4,64,66.5493,0.6646,0.3166,0.4289
8,128,20,8,66.5493,0.6587,0.3254,0.4356
8,128,20,16,66.5493,0.6779,0.2988,0.4148
8,128,20,64,66.5493,0.655,0.3314,0.4401
8,256,10,128,66.5493,0.6402,0.358,0.4592
8,512,2,4,66.5493,0.6755,0.3018,0.4172
8,512,20,16,66.5493,0.6853,0.2899,0.4075
16,128,3,128,66.5493,0.6732,0.3047,0.4196
16,512,2,64,66.5493,0.6402,0.358,0.4592
16,512,10,16,66.5493,0.6667,0.3136,0.4266
4,128,4,16,66.4319,0.6313,0.3698,0.4664
4,256,5,32,66.4319,0.6667,0.3077,0.4211
4,256,5,128,66.4319,0.6354,0.3609,0.4604
4,256,10,64,66.4319,0.6413,0.3491,0.4521
4,512,2,64,66.4319,0.6477,0.3373,0.4436
4,512,4,32,66.4319,0.6354,0.3609,0.4604
4,1024,20,128,66.4319,0.6494,0.3343,0.4414
8,128,2,32,66.4319,0.6477,0.3373,0.4436
8,256,4,16,66.4319,0.6585,0.3195,0.4303
8,256,10,32,66.4319,0.6548,0.3254,0.4348
8,512,4,64,66.4319,0.634,0.3639,0.4624
8,1024,10,8,66.4319,0.6781,0.2929,0.4091
8,1024,10,128,66.4319,0.6368,0.358,0.4583
8,1024,20,32,66.4319,0.6585,0.3195,0.4303
16,256,3,32,66.4319,0.6688,0.3047,0.4187
16,256,5,32,66.4319,0.6494,0.3343,0.4414
16,256,20,128,66.4319,0.7063,0.2633,0.3836
16,512,20,16,66.4319,0.7063,0.2633,0.3836
4,128,2,4,66.3146,0.6735,0.2929,0.4082
4,128,3,64,66.3146,0.6409,0.3432,0.447
4,128,20,4,66.3146,0.6689,0.2988,0.4131
4,128,20,32,66.3146,0.6564,0.3166,0.4271
4,256,2,128,66.3146,0.6584,0.3136,0.4248
4,256,3,128,66.3146,0.6393,0.3462,0.4491
4,256,5,16,66.3146,0.6308,0.3639,0.4615
4,512,2,128,66.3146,0.6604,0.3107,0.4225
4,512,4,128,66.3146,0.6349,0.355,0.4554
4,512,20,128,66.3146,0.6457,0.3343,0.4405
4,1024,4,64,66.3146,0.6441,0.3373,0.4427
4,1024,10,128,66.3146,0.6409,0.3432,0.447
4,1024,20,4,66.3146,0.6783,0.287,0.4033
8,128,2,16,66.3146,0.6527,0.3225,0.4317
8,128,20,32,66.3146,0.6759,0.2899,0.4058
8,256,2,32,66.3146,0.6335,0.358,0.4575
8,256,3,4,66.3146,0.6783,0.287,0.4033
8,256,4,8,66.3146,0.6474,0.3314,0.4384
8,256,4,64,66.3146,0.6409,0.3432,0.447
8,256,5,64,66.3146,0.6474,0.3314,0.4384
8,512,3,64,66.3146,0.6491,0.3284,0.4361
8,1024,2,32,66.3146,0.6564,0.3166,0.4271
8,1024,2,64,66.3146,0.6349,0.355,0.4554
16,512,20,32,66.3146,0.6321,0.3609,0.4595
4,128,2,128,66.1972,0.6344,0.3491,0.4504
4,128,3,16,66.1972,0.6225,0.3757,0.4686
4,128,5,32,66.1972,0.6276,0.3639,0.4607
4,256,2,8,66.1972,0.6524,0.3166,0.4263
4,256,2,16,66.1972,0.6276,0.3639,0.4607
4,256,4,4,66.1972,0.6667,0.2959,0.4098
4,256,5,64,66.1972,0.625,0.3698,0.4647
4,256,20,16,66.1972,0.6289,0.3609,0.4586
4,512,4,64,66.1972,0.6389,0.3402,0.444
4,512,5,16,66.1972,0.6543,0.3136,0.424
4,512,20,64,66.1972,0.6344,0.3491,0.4504
4,1024,3,8,66.1972,0.6374,0.3432,0.4462
4,1024,3,64,66.1972,0.6437,0.3314,0.4375
4,1024,20,64,66.1972,0.6453,0.3284,0.4353
8,128,2,64,66.1972,0.633,0.3521,0.4525
8,256,4,32,66.1972,0.6623,0.3018,0.4146
8,256,5,8,66.1972,0.625,0.3698,0.4647
8,512,5,8,66.1972,0.6471,0.3254,0.4331
8,1024,4,4,66.1972,0.6866,0.2722,0.3898
16,128,3,64,66.1972,0.6812,0.2781,0.395
4,128,5,8,66.0798,0.6369,0.3373,0.441
4,128,5,64,66.0798,0.64,0.3314,0.4366
4,128,10,128,66.0798,0.631,0.3491,0.4495
4,256,10,32,66.0798,0.6433,0.3254,0.4322
4,512,2,4,66.0798,0.6644,0.2929,0.4066
4,512,3,32,66.0798,0.645,0.3225,0.43
4,1024,2,32,66.0798,0.6369,0.3373,0.441
4,1024,3,128,66.0798,0.6283,0.355,0.4537
4,1024,10,64,66.0798,0.6256,0.3609,0.4578
8,1024,3,128,66.0798,0.6384,0.3343,0.4388
8,1024,20,4,66.0798,0.6713,0.284,0.3992
16,256,2,32,66.0798,0.6601,0.2988,0.4114
16,256,5,16,66.0798,0.6384,0.3343,0.4388
16,256,10,32,66.0798,0.6561,0.3047,0.4162
16,512,5,64,66.0798,0.6581,0.3018,0.4138
16,1024,2,64,66.0798,0.6623,0.2959,0.409
4,256,2,4,65.9624,0.669,0.2811,0.3958
4,256,4,8,65.9624,0.6348,0.3343,0.438
4,256,4,64,65.9624,0.6304,0.3432,0.4444
4,1024,3,16,65.9624,0.6237,0.358,0.4549
4,1024,5,64,65.9624,0.6429,0.3195,0.4269
8,128,5,32,65.9624,0.629,0.3462,0.4466
8,512,2,8,65.9624,0.6263,0.3521,0.4508
8,512,3,128,65.9624,0.6395,0.3254,0.4314
16,256,3,16,65.9624,0.7,0.2485,0.3668
16,1024,5,64,65.9624,0.6319,0.3402,0.4423
4,128,4,64,65.8451,0.6407,0.3166,0.4238
4,128,20,64,65.8451,0.6407,0.3166,0.4238
8,128,4,8,65.8451,0.6621,0.284,0.3975
8,256,5,4,65.8451,0.6536,0.2959,0.4073
8,512,2,32,65.8451,0.6298,0.3373,0.4393
16,128,4,16,65.8451,0.7043,0.2396,0.3576
16,512,4,16,65.8451,0.6424,0.3136,0.4215
16,512,10,32,65.8451,0.6516,0.2988,0.4097
4,128,2,32,65.7277,0.642,0.3077,0.416
4,128,20,128,65.7277,0.6264,0.3373,0.4385
4,512,3,128,65.7277,0.6307,0.3284,0.4319
4,1024,20,8,65.7277,0.662,0.2781,0.3917
8,128,5,128,65.7277,0.6855,0.2515,0.368
8,256,2,8,65.7277,0.642,0.3077,0.416
8,256,20,8,65.7277,0.642,0.3077,0.416
8,1024,10,4,65.7277,0.6597,0.2811,0.3942
4,256,3,8,65.6103,0.6452,0.2959,0.4057
4,1024,10,8,65.6103,0.6286,0.3254,0.4288
8,256,2,64,65.6103,0.6347,0.3136,0.4198
8,512,3,8,65.6103,0.6452,0.2959,0.4057
8,512,4,8,65.6103,0.6596,0.2751,0.3883
8,512,5,32,65.6103,0.6471,0.2929,0.4033
8,1024,4,16,65.6103,0.6772,0.2544,0.3699
8,1024,5,32,65.6103,0.6398,0.3047,0.4128
32,512,5,128,65.6103,0.6829,0.2485,0.3644
4,128,20,16,65.493,0.6196,0.3373,0.4368
4,1024,2,8,65.493,0.6549,0.2751,0.3875
8,128,4,4,65.493,0.6667,0.2604,0.3745
8,512,20,4,65.493,0.6594,0.2692,0.3824
8,1024,5,16,65.493,0.6325,0.3107,0.4167
16,128,10,32,65.493,0.6549,0.2751,0.3875
4,128,3,4,65.3756,0.6229,0.3225,0.425
4,128,20,8,65.3756,0.6287,0.3107,0.4158
4,512,2,32,65.3756,0.6114,0.3491,0.4444
4,512,3,4,65.3756,0.6405,0.2899,0.3992
4,1024,4,4,65.3756,0.6287,0.3107,0.4158
4,1024,20,32,65.3756,0.6443,0.284,0.3943
8,128,3,4,65.3756,0.6369,0.2959,0.404
8,128,4,16,65.3756,0.6777,0.2426,0.3573
8,512,20,8,65.3756,0.6503,0.2751,0.3867
8,1024,2,16,65.3756,0.6272,0.3136,0.4181
16,512,3,16,65.3756,0.7529,0.1893,0.3026
4,512,10,8,65.2582,0.628,0.3047,0.4104
4,512,20,8,65.2582,0.6105,0.3432,0.4394
8,128,2,4,65.2582,0.6641,0.2515,0.3648
8,128,3,16,65.2582,0.6944,0.2219,0.3363
16,128,2,64,65.2582,0.6694,0.2456,0.3593
16,256,10,8,65.2582,0.6615,0.2544,0.3675
32,1024,2,128,65.2582,0.6721,0.2426,0.3565
4,512,4,4,65.1408,0.6723,0.2367,0.3501
8,128,20,4,65.1408,0.6694,0.2396,0.3529
8,256,10,8,65.1408,0.6434,0.2722,0.3825
8,512,10,32,65.1408,0.6752,0.2337,0.3473
8,1024,2,4,65.1408,0.664,0.2456,0.3585
8,1024,5,64,65.1408,0.6062,0.3462,0.4407
8,1024,20,128,65.1408,0.6614,0.2485,0.3613
16,256,4,32,65.1408,0.6434,0.2722,0.3825
16,256,20,16,65.1408,0.699,0.213,0.3265
16,1024,2,128,65.1408,0.6273,0.2988,0.4048
16,1024,20,8,65.1408,0.6881,0.2219,0.3356
4,256,5,4,65.0235,0.6613,0.2426,0.355
4,256,10,4,65.0235,0.5952,0.3698,0.4562
4,512,2,8,65.0235,0.6429,0.2663,0.3766
4,512,10,4,65.0235,0.6163,0.3136,0.4157
8,128,4,128,65.0235,0.6471,0.2604,0.3713
8,512,3,4,65.0235,0.6818,0.2219,0.3348
8,512,20,128,65.0235,0.6299,0.287,0.3943
8,1024,3,4,65.0235,0.6562,0.2485,0.3605
16,128,2,128,65.0235,0.6724,0.2308,0.3436
16,128,4,32,65.0235,0.6266,0.2929,0.3992
16,256,5,8,65.0235,0.6818,0.2219,0.3348
4,512,3,8,64.9061,0.6403,0.2633,0.3732
8,1024,20,8,64.9061,0.6444,0.2574,0.3679
16,128,10,128,64.9061,0.6275,0.284,0.391
16,512,5,16,64.9061,0.7143,0.1923,0.303
16,512,5,128,64.9061,0.7349,0.1805,0.2898
8,256,2,4,64.7887,0.6759,0.216,0.3274
8,512,2,128,64.7887,0.6727,0.2189,0.3304
16,256,20,64,64.7887,0.6532,0.2396,0.3506
16,1024,10,16,64.7887,0.6532,0.2396,0.3506
16,1024,20,4,64.7887,0.7375,0.1746,0.2823
4,128,3,8,64.6714,0.6121,0.2988,0.4016
8,512,10,4,64.6714,0.637,0.2544,0.3636
16,128,10,64,64.6714,0.6832,0.2041,0.3144
16,256,2,8,64.6714,0.6947,0.1953,0.3048
16,512,2,8,64.6714,0.6762,0.2101,0.3205
16,1024,2,16,64.6714,0.6225,0.2781,0.3845
16,128,3,16,64.554,0.6579,0.2219,0.3319
16,128,4,8,64.554,0.7,0.1864,0.2944
32,1024,10,128,64.554,0.6607,0.2189,0.3289
8,256,10,4,64.4366,0.6966,0.1834,0.2904
16,1024,3,16,64.4366,0.6733,0.2012,0.3098
32,1024,3,64,64.4366,0.6577,0.216,0.3252
8,128,2,8,64.3192,0.6518,0.216,0.3244
16,128,5,8,64.3192,0.6735,0.1953,0.3028
16,256,2,4,64.3192,0.7237,0.1627,0.2657
16,256,4,8,64.3192,0.6735,0.1953,0.3028
16,512,3,128,64.3192,0.6574,0.2101,0.3184
16,1024,5,8,64.3192,0.6269,0.2485,0.3559
32,1024,4,128,64.3192,0.6393,0.2308,0.3391
4,512,20,32,64.2019,0.6051,0.2811,0.3838
8,512,5,4,64.2019,0.6204,0.2515,0.3579
8,128,5,4,64.0845,0.6509,0.2041,0.3108
16,512,5,8,64.0845,0.629,0.2308,0.3377
16,512,20,4,64.0845,0.7105,0.1598,0.2609
16,1024,3,8,64.0845,0.6404,0.216,0.323
16,1024,5,16,64.0845,0.6455,0.2101,0.317
32,512,3,64,64.0845,0.6569,0.1982,0.3045
32,512,3,128,64.0845,0.686,0.1746,0.2783
32,1024,3,128,64.0845,0.6538,0.2012,0.3077
8,512,10,16,63.9671,0.604,0.2663,0.3696
16,512,2,32,63.9671,0.6202,0.2367,0.3426
16,1024,3,64,63.9671,0.5856,0.3136,0.4085
32,1024,10,64,63.9671,0.6867,0.1686,0.2708
16,128,3,32,63.8498,0.7083,0.1509,0.2488
16,1024,3,128,63.8498,0.6103,0.2456,0.3502
16,1024,10,8,63.8498,0.6923,0.1598,0.2596
16,1024,10,32,63.8498,0.6744,0.1716,0.2736
8,128,10,4,63.7324,0.6198,0.2219,0.3268
8,512,5,128,63.7324,0.6239,0.216,0.3209
8,512,10,64,63.7324,0.6014,0.2544,0.3576
8,1024,2,8,63.7324,0.6261,0.213,0.3179
16,256,3,8,63.7324,0.6436,0.1923,0.2961
16,512,2,4,63.7324,0.6667,0.1716,0.2729
16,512,4,64,63.7324,0.6706,0.1686,0.2695
32,512,4,64,63.615,0.6944,0.1479,0.2439
32,1024,5,64,63.615,0.6628,0.1686,0.2689
8,128,2,128,63.4977,0.6262,0.1982,0.3011
8,1024,20,64,63.4977,0.6174,0.2101,0.3135
16,512,2,128,63.4977,0.608,0.2249,0.3283
16,1024,5,4,63.4977,0.7143,0.1331,0.2244
8,128,3,64,63.3803,0.7097,0.1302,0.22
8,256,3,64,63.3803,0.5855,0.2633,0.3633
32,512,2,128,63.3803,0.6444,0.1716,0.271
32,1024,4,64,63.3803,0.625,0.1923,0.2941
16,128,3,8,63.1455,0.7308,0.1124,0.1949
16,512,4,8,63.1455,0.5896,0.2337,0.3347
8,256,10,16,63.0282,0.6716,0.1331,0.2222
16,128,20,32,63.0282,0.6667,0.1361,0.226
16,256,10,16,63.0282,0.6095,0.1893,0.2889
16,512,3,64,63.0282,0.6095,0.1893,0.2889
32,512,2,64,63.0282,0.6533,0.145,0.2373
32,1024,4,32,63.0282,0.662,0.1391,0.2298
8,512,10,128,62.9108,0.5982,0.1982,0.2978
16,256,2,16,62.9108,0.6341,0.1538,0.2476
16,1024,3,4,62.9108,0.6447,0.145,0.2367
8,256,20,4,62.7934,0.6329,0.1479,0.2398
16,128,2,32,62.7934,0.6129,0.1686,0.2645
16,256,3,4,62.7934,0.678,0.1183,0.2015
16,256,4,4,62.7934,0.7561,0.0917,0.1636
16,512,3,8,62.7934,0.6615,0.1272,0.2134
16,512,3,32,62.7934,0.6235,0.1568,0.2506
16,1024,3,32,62.7934,0.6,0.1864,0.2844
32,256,2,128,62.7934,0.7059,0.1065,0.1851
4,1024,10,4,62.6761,0.602,0.1746,0.2706
16,128,2,16,62.6761,0.6316,0.142,0.2319
16,1024,10,128,62.6761,0.6042,0.1716,0.2673
32,512,3,32,62.6761,0.6667,0.1183,0.201
32,1024,2,32,62.6761,0.6667,0.1183,0.201
16,256,4,16,62.5587,0.6145,0.1509,0.2423
16,512,5,4,62.5587,0.6863,0.1036,0.1799
16,512,10,4,62.5587,0.6792,0.1065,0.1841
16,1024,4,16,62.5587,0.6203,0.145,0.235
32,512,5,64,62.5587,0.6557,0.1183,0.2005
32,1024,2,64,62.5587,0.6145,0.1509,0.2423
16,256,10,4,62.4413,0.6667,0.1065,0.1837
32,1024,3,16,62.4413,0.7647,0.0769,0.1398
32,1024,3,32,62.4413,0.6324,0.1272,0.2118
16,128,5,16,62.3239,0.6164,0.1331,0.219
16,256,5,4,62.3239,0.6889,0.0917,0.1619
32,512,3,8,62.3239,0.6809,0.0947,0.1662
32,512,10,128,62.3239,0.6735,0.0976,0.1705
4,128,4,4,62.2066,0.66,0.0976,0.1701
16,512,3,4,62.2066,0.6,0.142,0.2297
16,512,4,128,62.2066,0.5851,0.1627,0.2546
16,512,20,8,62.2066,0.5889,0.1568,0.2477
16,1024,2,8,62.2066,0.5755,0.1805,0.2748
16,1024,4,128,62.2066,0.5656,0.2041,0.3
32,256,3,64,62.2066,0.6143,0.1272,0.2108
16,512,10,8,62.0892,0.5676,0.1864,0.2806
16,1024,2,4,62.0892,0.5882,0.1479,0.2364
32,1024,5,32,62.0892,0.6056,0.1272,0.2103
8,128,5,8,61.9718,0.5686,0.1716,0.2636
32,1024,20,128,61.9718,0.6522,0.0888,0.1562
16,128,5,4,61.8545,0.6444,0.0858,0.1514
16,512,4,4,61.8545,0.6,0.1154,0.1935
16,1024,4,64,61.8545,0.5528,0.2012,0.295
32,256,3,128,61.8545,0.597,0.1183,0.1975
32,1024,10,16,61.8545,0.6857,0.071,0.1287
8,128,10,8,61.7371,0.5536,0.1834,0.2756
32,128,2,64,61.7371,0.8,0.0473,0.0894
32,1024,10,32,61.7371,0.7143,0.0592,0.1093
16,1024,5,128,61.6197,0.544,0.2012,0.2937
32,256,5,64,61.6197,0.6486,0.071,0.128
4,1024,4,8,61.5023,1,0.0296,0.0575
16,128,2,8,61.5023,0.6316,0.071,0.1277
16,128,5,32,61.5023,0.5962,0.0917,0.159
32,256,4,64,61.5023,0.619,0.0769,0.1368
32,256,10,128,61.5023,0.6389,0.068,0.123
32,512,4,16,61.5023,0.75,0.0444,0.0838
32,1024,4,8,61.5023,0.75,0.0444,0.0838
32,1024,4,16,61.5023,0.625,0.074,0.1323
32,1024,5,16,61.5023,0.6389,0.068,0.123
16,1024,4,8,61.385,0.5818,0.0947,0.1628
32,256,2,32,61.385,0.7647,0.0385,0.0732
32,256,3,32,61.385,0.7143,0.0444,0.0836
32,256,4,128,61.385,0.6098,0.074,0.1319
16,128,3,4,61.2676,0.5606,0.1095,0.1832
16,1024,4,4,61.2676,0.6176,0.0621,0.1129
16,1024,5,32,61.2676,0.5417,0.1538,0.2396
32,256,2,64,61.2676,0.6429,0.0533,0.0984
32,1024,20,64,61.2676,0.6667,0.0473,0.0884
4,128,5,16,61.1502,0.6842,0.0385,0.0728
16,128,2,4,61.1502,0.7333,0.0325,0.0623
16,128,10,16,61.1502,0.6296,0.0503,0.0932
16,1024,20,16,61.1502,0.5432,0.1302,0.21
32,128,2,32,61.1502,0.8182,0.0266,0.0516
32,128,4,128,61.1502,0.5778,0.0769,0.1358
32,512,2,32,61.1502,0.6061,0.0592,0.1078
32,512,4,8,61.1502,0.7059,0.0355,0.0676
32,512,4,128,61.1502,0.7059,0.0355,0.0676
32,1024,3,8,61.1502,0.6842,0.0385,0.0728
32,1024,5,128,61.1502,0.5946,0.0651,0.1173
16,128,20,128,61.0329,0.6667,0.0355,0.0674
16,1024,2,32,61.0329,0.5214,0.216,0.3054
32,256,4,32,61.0329,1,0.0178,0.0349
32,512,2,16,61.0329,0.8,0.0237,0.046
32,512,5,32,61.0329,0.6071,0.0503,0.0929
16,128,4,4,60.9155,0.619,0.0385,0.0724
16,128,10,4,60.9155,0.7778,0.0207,0.0403
32,1024,2,4,60.9155,0.5641,0.0651,0.1167
32,1024,20,8,60.9155,0.8571,0.0178,0.0348
16,1024,10,64,60.7981,0.5333,0.0947,0.1608
32,128,2,128,60.7981,0.5769,0.0444,0.0824
32,1024,10,4,60.7981,0.75,0.0178,0.0347
64,1024,2,64,60.7981,0.8333,0.0148,0.0291
4,1024,3,4,60.6808,0.5306,0.0769,0.1344
16,256,20,8,60.6808,0.5405,0.0592,0.1067
32,128,5,128,60.6808,0.5385,0.0621,0.1114
32,512,4,4,60.6808,0.8,0.0118,0.0233
32,512,4,32,60.6808,0.5455,0.0533,0.097
32,512,5,16,60.6808,0.6,0.0266,0.051
32,512,10,16,60.6808,0.7143,0.0148,0.029
32,1024,2,8,60.6808,0.5455,0.0533,0.097
32,1024,10,8,60.6808,0.7143,0.0148,0.029
16,256,20,4,60.5634,0.6667,0.0118,0.0233
32,512,10,64,60.5634,0.5556,0.0296,0.0562
32,1024,2,16,60.5634,0.5385,0.0414,0.0769
32,1024,20,32,60.5634,0.5625,0.0266,0.0508
16,1024,10,4,60.446,0.5333,0.0237,0.0453
32,256,4,8,60.446,1,0.003,0.0059
32,512,2,4,60.446,0.6667,0.0059,0.0117
32,512,2,8,60.446,0.5294,0.0266,0.0507
32,512,5,8,60.446,0.5556,0.0148,0.0288
32,1024,3,4,60.446,0.5385,0.0207,0.0399
32,1024,5,8,60.446,0.5714,0.0118,0.0232
32,1024,20,16,60.446,1,0.003,0.0059
