model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_1024entry_10hash_16bpi.pickle.lzma,70.60917721518987,0.7983963344788088,0.5514240506329114,0.6523163313055687,1394,352,1134
['portfolio6']_16input_1024entry_10hash_32bpi.pickle.lzma,73.18037974683544,0.8337129840546698,0.5791139240506329,0.6834733893557423,1464,292,1064
['portfolio6']_16input_1024entry_10hash_4bpi.pickle.lzma,63.03401898734177,0.7743547044129891,0.36787974683544306,0.49879324215607407,930,271,1598
['portfolio6']_16input_1024entry_10hash_8bpi.pickle.lzma,67.16772151898735,0.7526193247962747,0.5114715189873418,0.6090438059349976,1293,425,1235
['portfolio6']_16input_1024entry_3hash_16bpi.pickle.lzma,72.31012658227847,0.8393501805054152,0.5518196202531646,0.665871121718377,1395,267,1133
['portfolio6']_16input_1024entry_3hash_32bpi.pickle.lzma,78.5007911392405,0.9286139202855443,0.6174841772151899,0.741743882157282,1561,120,967
['portfolio6']_16input_1024entry_3hash_4bpi.pickle.lzma,64.63607594936708,0.7365728900255755,0.45569620253164556,0.5630498533724341,1152,412,1376
['portfolio6']_16input_1024entry_3hash_8bpi.pickle.lzma,67.6621835443038,0.7809943360604154,0.4909018987341772,0.6028661646830217,1241,348,1287
['portfolio6']_16input_1024entry_4hash_16bpi.pickle.lzma,72.92325949367088,0.854434250764526,0.5526107594936709,0.6711506125390343,1397,238,1131
['portfolio6']_16input_1024entry_4hash_32bpi.pickle.lzma,77.0371835443038,0.9200983405039951,0.5921677215189873,0.7205776173285199,1497,130,1031
['portfolio6']_16input_1024entry_4hash_4bpi.pickle.lzma,65.48655063291139,0.757396449704142,0.45569620253164556,0.5690293899728328,1152,369,1376
['portfolio6']_16input_1024entry_4hash_8bpi.pickle.lzma,67.30617088607595,0.7835385612443292,0.47824367088607594,0.5939572586588061,1209,334,1319
['portfolio6']_16input_1024entry_5hash_16bpi.pickle.lzma,70.15427215189874,0.8380889183808892,0.49960443037974683,0.6260223048327138,1263,244,1265
['portfolio6']_16input_1024entry_5hash_32bpi.pickle.lzma,75.96914556962025,0.922730199613651,0.5668512658227848,0.7022788532222494,1433,120,1095
['portfolio6']_16input_1024entry_5hash_4bpi.pickle.lzma,65.07120253164557,0.7451737451737451,0.45806962025316456,0.5673689367956884,1158,396,1370
['portfolio6']_16input_1024entry_5hash_8bpi.pickle.lzma,66.77215189873418,0.795676429567643,0.4513449367088608,0.5759717314487632,1141,293,1387
['portfolio6']_16input_128entry_10hash_16bpi.pickle.lzma,64.14161392405063,0.7007299270072993,0.4936708860759494,0.5792527268507776,1248,533,1280
['portfolio6']_16input_128entry_10hash_32bpi.pickle.lzma,65.80300632911393,0.6749890494962768,0.6095727848101266,0.640615256703388,1541,742,987
