model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_2048entry_2hash_32bpi.pickle.lzma,82.59493670886076,0.9327731092436975,0.7025316455696202,0.8014440433212996,1776,128,752
['portfolio6']_16input_2048entry_2hash_64bpi.pickle.lzma,86.76819620253164,0.9277496548550391,0.7974683544303798,0.8576898532227186,2016,157,512
['portfolio6']_16input_2048entry_3hash_16bpi.pickle.lzma,76.26582278481013,0.9250960307298336,0.5715981012658228,0.7066014669926651,1445,117,1083
['portfolio6']_16input_2048entry_3hash_32bpi.pickle.lzma,82.21914556962025,0.9371980676328503,0.6906645569620253,0.7952630380323389,1746,117,782
['portfolio6']_16input_2048entry_3hash_64bpi.pickle.lzma,85.34414556962025,0.928948631781085,0.7654272151898734,0.8392973324658426,1935,148,593
['portfolio6']_16input_2048entry_4hash_16bpi.pickle.lzma,75.81091772151899,0.9352901934623082,0.5545886075949367,0.6962999751676184,1402,97,1126
['portfolio6']_16input_2048entry_4hash_32bpi.pickle.lzma,81.9620253164557,0.9248159831756047,0.6958069620253164,0.7941309255079007,1759,143,769
['portfolio6']_16input_2048entry_4hash_64bpi.pickle.lzma,84.92879746835443,0.9261583011583011,0.7590981012658228,0.8343478260869565,1919,153,609
['portfolio6']_16input_256entry_2hash_16bpi.pickle.lzma,68.73022151898735,0.7528029898558463,0.557753164556962,0.6407634628493524,1410,463,1118
['portfolio6']_16input_256entry_2hash_32bpi.pickle.lzma,70.51028481012658,0.7470223916150548,0.620253164556962,0.6777609682299547,1568,531,960
['portfolio6']_16input_256entry_2hash_4bpi.pickle.lzma,64.47784810126582,0.697198275862069,0.5118670886075949,0.5903284671532846,1294,562,1234
['portfolio6']_16input_256entry_2hash_8bpi.pickle.lzma,65.70411392405063,0.6925315227934045,0.564873417721519,0.6222222222222222,1428,634,1100
['portfolio6']_16input_256entry_3hash_16bpi.pickle.lzma,67.8995253164557,0.7254608868958645,0.5759493670886076,0.6421168687982359,1456,551,1072
['portfolio6']_16input_256entry_3hash_32bpi.pickle.lzma,69.38291139240506,0.7344497607655502,0.6071993670886076,0.6647899523603291,1535,555,993
['portfolio6']_16input_256entry_3hash_4bpi.pickle.lzma,63.27136075949367,0.6871165644171779,0.4873417721518987,0.5702383707475122,1232,561,1296
['portfolio6']_16input_256entry_3hash_8bpi.pickle.lzma,64.7745253164557,0.693423096841015,0.5296677215189873,0.6005830903790087,1339,592,1189
['portfolio6']_16input_256entry_4hash_16bpi.pickle.lzma,68.21598101265823,0.713490959666203,0.6087816455696202,0.6569903948772678,1539,618,989
['portfolio6']_16input_256entry_4hash_32bpi.pickle.lzma,69.04667721518987,0.719562243502052,0.6242088607594937,0.6685024359245922,1578,615,950
['portfolio6']_16input_256entry_4hash_4bpi.pickle.lzma,63.3504746835443,0.6651982378854625,0.5375791139240507,0.5946182454605118,1359,684,1169
['portfolio6']_16input_256entry_4hash_8bpi.pickle.lzma,64.97231012658227,0.7118074986010072,0.5031645569620253,0.5895712630359212,1272,515,1256
['portfolio6']_16input_256entry_5hash_16bpi.pickle.lzma,67.04905063291139,0.7159318637274549,0.5652689873417721,0.6317418213969938,1429,567,1099
['portfolio6']_16input_256entry_5hash_32bpi.pickle.lzma,68.31487341772153,0.7217432950191571,0.596123417721519,0.6529462738301559,1507,581,1021
['portfolio6']_16input_256entry_5hash_4bpi.pickle.lzma,62.99446202531646,0.6924428822495606,0.4675632911392405,0.5582054309327036,1182,525,1346
['portfolio6']_16input_256entry_5hash_8bpi.pickle.lzma,65.13053797468355,0.6954522227899846,0.538370253164557,0.6069119286510591,1361,596,1167
['portfolio6']_16input_512entry_1hash_16bpi.pickle.lzma,68.53243670886076,0.7461902259590121,0.5617088607594937,0.6409388399909727,1420,483,1108
['portfolio6']_16input_512entry_1hash_32bpi.pickle.lzma,74.54509493670885,0.9288182446440912,0.5316455696202531,0.6762264150943396,1344,103,1184
['portfolio6']_16input_512entry_1hash_64bpi.pickle.lzma,80.61708860759494,0.9224890829694323,0.6685126582278481,0.7752293577981652,1690,142,838
['portfolio6']_16input_512entry_2hash_16bpi.pickle.lzma,68.9873417721519,0.8380281690140845,0.47072784810126583,0.6028368794326241,1190,230,1338
['portfolio6']_16input_512entry_2hash_32bpi.pickle.lzma,72.5870253164557,0.9055397727272727,0.5043512658227848,0.6478658536585367,1275,133,1253
['portfolio6']_16input_512entry_2hash_4bpi.pickle.lzma,62.95490506329114,0.7187708750835003,0.42563291139240506,0.5346583850931678,1076,421,1452
['portfolio6']_16input_512entry_2hash_64bpi.pickle.lzma,78.5996835443038,0.9145642201834863,0.6309335443037974,0.7467228464419475,1595,149,933
['portfolio6']_16input_512entry_2hash_8bpi.pickle.lzma,67.28639240506328,0.7349462365591398,0.540743670886076,0.62306289881495,1367,493,1161
['portfolio6']_16input_512entry_3hash_16bpi.pickle.lzma,70.27294303797468,0.7713075701429327,0.5763449367088608,0.659723794430609,1457,432,1071
['portfolio6']_16input_512entry_3hash_32bpi.pickle.lzma,73.35838607594937,0.8395629672225416,0.5775316455696202,0.6843215373798921,1460,279,1068
['portfolio6']_16input_512entry_3hash_4bpi.pickle.lzma,63.88449367088608,0.7362045760430687,0.432753164556962,0.5450921773791729,1094,392,1434
['portfolio6']_16input_512entry_3hash_64bpi.pickle.lzma,75.8504746835443,0.9154481881754609,0.569620253164557,0.7022677395757133,1440,133,1088
['portfolio6']_16input_512entry_3hash_8bpi.pickle.lzma,67.74129746835443,0.7334721499219157,0.5573575949367089,0.6334007642166779,1409,512,1119
['portfolio6']_16input_512entry_4hash_16bpi.pickle.lzma,69.73892405063292,0.7623554153522608,0.5735759493670886,0.6546275395033859,1450,452,1078
['portfolio6']_16input_512entry_4hash_32bpi.pickle.lzma,71.83544303797468,0.8270142180094787,0.5522151898734177,0.6622390891840607,1396,292,1132
['portfolio6']_16input_512entry_4hash_4bpi.pickle.lzma,62.28243670886076,0.7200566973777462,0.40189873417721517,0.5158669713125159,1016,395,1512
['portfolio6']_16input_512entry_4hash_64bpi.pickle.lzma,76.04825949367088,0.8445839874411303,0.6384493670886076,0.7271908087407074,1614,297,914
['portfolio6']_16input_512entry_4hash_8bpi.pickle.lzma,65.54588607594937,0.7188195991091314,0.5106803797468354,0.5971322849213692,1291,505,1237
['portfolio6']_16input_512entry_5hash_16bpi.pickle.lzma,69.28401898734177,0.740029542097489,0.5945411392405063,0.6593551217372232,1503,528,1025
['portfolio6']_16input_512entry_5hash_32bpi.pickle.lzma,70.80696202531645,0.7637913741223671,0.6024525316455697,0.6735957540911102,1523,471,1005
['portfolio6']_16input_512entry_5hash_4bpi.pickle.lzma,64.35917721518987,0.7291666666666666,0.45688291139240506,0.5617704280155642,1155,429,1373
['portfolio6']_16input_512entry_5hash_8bpi.pickle.lzma,66.89082278481013,0.7295698924731183,0.5367879746835443,0.6185050136736554,1357,503,1171
['portfolio6']_32input_1024entry_1hash_16bpi.pickle.lzma,77.92721518987342,0.89265850945495,0.6348892405063291,0.7420249653259362,1605,193,923
['portfolio6']_32input_1024entry_1hash_32bpi.pickle.lzma,84.01898734177216,0.9162633107454018,0.7488132911392406,0.824118415324336,1893,173,635
['portfolio6']_32input_1024entry_1hash_64bpi.pickle.lzma,89.10205696202532,0.9190334887664264,0.8575949367088608,0.8872518927767546,2168,191,360
['portfolio6']_32input_1024entry_2hash_16bpi.pickle.lzma,76.40427215189874,0.8325859491778774,0.660996835443038,0.7369349503858876,1671,336,857
['portfolio6']_32input_1024entry_2hash_32bpi.pickle.lzma,82.75316455696202,0.871967654986523,0.7678006329113924,0.8165755153554901,1941,285,587
['portfolio6']_32input_1024entry_2hash_4bpi.pickle.lzma,63.07357594936709,0.7252897068847989,0.4208860759493671,0.532665832290363,1064,403,1464
['portfolio6']_32input_1024entry_2hash_64bpi.pickle.lzma,84.9881329113924,0.906293063849334,0.7804588607594937,0.8386822529224229,1973,204,555
['portfolio6']_32input_1024entry_2hash_8bpi.pickle.lzma,70.70806962025317,0.7626693426994481,0.6012658227848101,0.672417606724176,1520,473,1008
['portfolio6']_32input_1024entry_3hash_16bpi.pickle.lzma,74.68354430379746,0.7962962962962963,0.663370253164557,0.7237807509710834,1677,429,851
['portfolio6']_32input_1024entry_3hash_32bpi.pickle.lzma,79.4501582278481,0.8376417233560091,0.7306170886075949,0.7804774984153813,1847,358,681
['portfolio6']_32input_1024entry_3hash_4bpi.pickle.lzma,62.89556962025317,0.7100515463917526,0.43591772151898733,0.5401960784313726,1102,450,1426
['portfolio6']_32input_1024entry_3hash_64bpi.pickle.lzma,84.51344936708861,0.8811708169506335,0.7978639240506329,0.8374506954536018,2017,272,511
['portfolio6']_32input_1024entry_3hash_8bpi.pickle.lzma,67.32594936708861,0.7362459546925566,0.5399525316455697,0.623003194888179,1365,489,1163
['portfolio6']_32input_1024entry_4hash_16bpi.pickle.lzma,70.84651898734177,0.7702564102564102,0.5941455696202531,0.6708351942831621,1502,448,1026
['portfolio6']_32input_1024entry_4hash_32bpi.pickle.lzma,77.23496835443038,0.8080536912751678,0.7143987341772152,0.7583455805164812,1806,429,722
['portfolio6']_32input_1024entry_4hash_4bpi.pickle.lzma,62.2626582278481,0.699228791773779,0.43037974683544306,0.5328109696376101,1088,468,1440
['portfolio6']_32input_1024entry_4hash_64bpi.pickle.lzma,82.95094936708861,0.8631211857018308,0.7832278481012658,0.8212360016590626,1980,314,548
['portfolio6']_32input_1024entry_4hash_8bpi.pickle.lzma,67.34572784810126,0.7361335487345181,0.540743670886076,0.6234891676168758,1367,490,1161
['portfolio6']_32input_1024entry_5hash_16bpi.pickle.lzma,70.66851265822784,0.7518072289156627,0.6170886075949367,0.6778188138170759,1560,515,968
['portfolio6']_32input_1024entry_5hash_32bpi.pickle.lzma,75.15822784810126,0.7936288088642659,0.6799841772151899,0.7324243715381338,1719,447,809
['portfolio6']_32input_1024entry_5hash_4bpi.pickle.lzma,60.30458860759494,0.6914033798677444,0.37223101265822783,0.4839290305991258,941,420,1587
['portfolio6']_32input_1024entry_5hash_8bpi.pickle.lzma,62.55933544303798,0.7084701247537755,0.42681962025316456,0.5327079733399162,1079,444,1449
['portfolio6']_32input_128entry_2hash_16bpi.pickle.lzma,59.19699367088608,0.6021080368906456,0.5423259493670886,0.5706555671175858,1371,906,1157
['portfolio6']_32input_128entry_2hash_32bpi.pickle.lzma,62.71756329113924,0.6342379958246347,0.600870253164557,0.6171033922405038,1519,876,1009
['portfolio6']_32input_128entry_2hash_4bpi.pickle.lzma,53.34256329113924,0.5526479750778817,0.35087025316455694,0.4292281635615776,887,718,1641
['portfolio6']_32input_128entry_2hash_8bpi.pickle.lzma,57.04113924050633,0.6181938911022576,0.3682753164556962,0.4615765989092712,931,575,1597
['portfolio6']_32input_128entry_3hash_16bpi.pickle.lzma,55.20174050632911,0.5563651950278611,0.5134493670886076,0.534046492491257,1298,1035,1230
['portfolio6']_32input_128entry_3hash_32bpi.pickle.lzma,58.86075949367089,0.6085271317829457,0.49683544303797467,0.5470383275261324,1256,808,1272
['portfolio6']_32input_128entry_3hash_4bpi.pickle.lzma,53.61946202531646,0.5905044510385756,0.23615506329113925,0.3373834416501837,597,414,1931
['portfolio6']_32input_128entry_3hash_8bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_128entry_4hash_16bpi.pickle.lzma,55.10284810126582,0.6472602739726028,0.2242879746835443,0.3331374853113983,567,309,1961
['portfolio6']_32input_128entry_4hash_32bpi.pickle.lzma,56.34889240506329,0.5676359039190898,0.5328322784810127,0.5496837380126506,1347,1026,1181
['portfolio6']_32input_128entry_4hash_4bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_128entry_4hash_8bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_128entry_5hash_16bpi.pickle.lzma,52.92721518987342,0.5640138408304498,0.2579113924050633,0.35396308360477735,652,504,1876
['portfolio6']_32input_128entry_5hash_32bpi.pickle.lzma,54.82594936708861,0.5569029850746269,0.4723101265822785,0.5111301369863014,1194,950,1334
['portfolio6']_32input_128entry_5hash_4bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_128entry_5hash_8bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_2048entry_1hash_16bpi.pickle.lzma,86.29351265822784,0.9142212189616253,0.8010284810126582,0.8538899430740039,2025,190,503
['portfolio6']_32input_2048entry_1hash_32bpi.pickle.lzma,88.94382911392405,0.926006057983557,0.8465189873417721,0.8844802645174622,2140,171,388
['portfolio6']_32input_2048entry_1hash_64bpi.pickle.lzma,91.67325949367088,0.9344329896907216,0.8963607594936709,0.9150010094891985,2266,159,262
['portfolio6']_32input_2048entry_2hash_16bpi.pickle.lzma,84.45411392405063,0.9191530317613089,0.7555379746835443,0.8293530178028659,1910,168,618
['portfolio6']_32input_2048entry_2hash_32bpi.pickle.lzma,89.33939873417721,0.9222929936305733,0.8591772151898734,0.8896170387057136,2172,183,356
['portfolio6']_32input_2048entry_2hash_64bpi.pickle.lzma,91.55458860759494,0.9317714755445952,0.896756329113924,0.9139286434186656,2267,166,261
['portfolio6']_32input_2048entry_3hash_16bpi.pickle.lzma,81.66534810126582,0.9077941925624045,0.7049050632911392,0.7935871743486974,1782,181,746
['portfolio6']_32input_2048entry_3hash_32bpi.pickle.lzma,87.32199367088607,0.9125491910800175,0.8255537974683544,0.8668743509865005,2087,200,441
['portfolio6']_32input_2048entry_3hash_64bpi.pickle.lzma,90.625,0.9264950166112956,0.8825158227848101,0.9039708265802269,2231,177,297
['portfolio6']_32input_2048entry_4hash_16bpi.pickle.lzma,80.3006329113924,0.8422698838248436,0.7456487341772152,0.7910197230381872,1885,353,643
['portfolio6']_32input_2048entry_4hash_32bpi.pickle.lzma,84.82990506329115,0.9131862975129047,0.7697784810126582,0.8353723975101953,1946,185,582
['portfolio6']_32input_2048entry_4hash_64bpi.pickle.lzma,89.33939873417721,0.9233716475095786,0.8579905063291139,0.8894812384662701,2169,180,359
['portfolio6']_32input_256entry_2hash_16bpi.pickle.lzma,63.88449367088608,0.6660359508041628,0.5569620253164557,0.6066350710900474,1408,706,1120
['portfolio6']_32input_256entry_2hash_32bpi.pickle.lzma,67.85996835443038,0.6872666943177105,0.6554588607594937,0.6709860295606398,1657,754,871
['portfolio6']_32input_256entry_2hash_4bpi.pickle.lzma,56.76424050632911,0.6130952380952381,0.36669303797468356,0.45891089108910893,927,585,1601
['portfolio6']_32input_256entry_2hash_8bpi.pickle.lzma,58.95965189873418,0.6250690226394258,0.4477848101265823,0.5217792117999539,1132,679,1396
['portfolio6']_32input_256entry_3hash_16bpi.pickle.lzma,58.80142405063291,0.6111944027986007,0.4837816455696203,0.5400750717597704,1223,778,1305
