model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_16input_256entry_20hash_16bpi.pickle.lzma,65.90189873,0.672532189,0.619857595,0.645121449,1567,763,961
['portfolio6']_4input_1024entry_10hash_16bpi.pickle.lzma,65.90189873,0.679304193,0.602452532,0.638574423,1523,719,1005
['portfolio6']_4input_128entry_10hash_16bpi.pickle.lzma,65.90189873,0.662489895,0.648338608,0.655337865,1639,835,889
['portfolio6']_4input_1024entry_20hash_16bpi.pickle.lzma,65.84256329,0.676977464,0.606012658,0.639532457,1532,731,996
['portfolio6']_4input_256entry_20hash_16bpi.pickle.lzma,65.84256329,0.685502547,0.585443038,0.63153403,1480,679,1048
['portfolio6']_8input_256entry_10hash_16bpi.pickle.lzma,65.84256329,0.671520343,0.620253165,0.644869422,1568,767,960
['portfolio6']_4input_256entry_5hash_16bpi.pickle.lzma,65.82278481,0.683654729,0.589003165,0.63280918,1489,689,1039
['portfolio6']_8input_128entry_10hash_32bpi.pickle.lzma,65.76344937,0.647210935,0.693037975,0.669340974,1752,955,776
['portfolio6']_4input_512entry_10hash_16bpi.pickle.lzma,65.74367089,0.664735099,0.63528481,0.649676375,1606,810,922
['portfolio6']_8input_512entry_10hash_8bpi.pickle.lzma,65.74367089,0.688983856,0.573971519,0.626240829,1451,655,1077
['portfolio6']_4input_1024entry_5hash_8bpi.pickle.lzma,65.72389241,0.674265673,0.608386076,0.63963402,1538,743,990
['portfolio6']_4input_128entry_20hash_8bpi.pickle.lzma,65.68433544,0.680802554,0.590585443,0.632493116,1493,700,1035
['portfolio6']_4input_512entry_20hash_16bpi.pickle.lzma,65.68433544,0.663910707,0.63528481,0.649282393,1606,813,922
['portfolio6']_4input_512entry_5hash_32bpi.pickle.lzma,65.68433544,0.654701522,0.663765823,0.659202514,1678,885,850
['portfolio6']_8input_256entry_20hash_8bpi.pickle.lzma,65.68433544,0.692009685,0.565268987,0.622251252,1429,636,1099
['portfolio6']_8input_256entry_5hash_8bpi.pickle.lzma,65.68433544,0.705334024,0.538765823,0.610899305,1362,569,1166
['portfolio6']_4input_1024entry_5hash_32bpi.pickle.lzma,65.64477848,0.667513765,0.623417722,0.64471262,1576,785,952
['portfolio6']_4input_128entry_5hash_16bpi.pickle.lzma,65.64477848,0.656015779,0.657832278,0.656922773,1663,872,865
['portfolio6']_4input_256entry_10hash_16bpi.pickle.lzma,65.64477848,0.673236969,0.607990506,0.638952401,1537,746,991
['portfolio6']_4input_512entry_10hash_8bpi.pickle.lzma,65.64477848,0.680841335,0.589003165,0.631601273,1489,698,1039
['portfolio6']_8input_1024entry_5hash_16bpi.pickle.lzma,65.625,0.675244011,0.602056962,0.636553743,1522,732,1006
['portfolio6']_8input_256entry_20hash_32bpi.pickle.lzma,65.625,0.683379759,0.582278481,0.628791115,1472,682,1056
['portfolio6']_8input_1024entry_5hash_8bpi.pickle.lzma,65.60522152,0.691784152,0.56289557,0.620719738,1423,634,1105
['portfolio6']_8input_512entry_5hash_8bpi.pickle.lzma,65.58544304,0.686024551,0.574762658,0.625484288,1453,665,1075
['portfolio6']_4input_256entry_20hash_32bpi.pickle.lzma,65.56566456,0.654982276,0.657832278,0.656404184,1663,876,865
['portfolio6']_8input_512entry_20hash_16bpi.pickle.lzma,65.56566456,0.664989518,0.627373418,0.645634032,1586,799,942
['portfolio6']_4input_128entry_10hash_8bpi.pickle.lzma,65.54588608,0.657704655,0.648338608,0.652988048,1639,853,889
['portfolio6']_4input_512entry_20hash_8bpi.pickle.lzma,65.54588608,0.660146699,0.640822785,0.650341228,1620,834,908
['portfolio6']_16input_128entry_5hash_16bpi.pickle.lzma,65.52610759,0.683668694,0.577927215,0.626366559,1461,676,1067
['portfolio6']_32input_1024entry_5hash_8bpi.pickle.lzma,65.52610759,0.736019242,0.484177215,0.584108805,1224,439,1304
